osm_id,dist_bruxelles,dist_liege,dist_namur,dist_charleroi,dist_mons,dist_la_louviere,dist_tournai,dist_seraing,dist_verviers,dist_herstal,dist_mouscron
750599496_750679588_0,73.19527455303005,158.231228794602,112.29380257692196,85.75162109131544,53.19993259894968,65.96703238930554,13.070082636000276,153.8575849371073,179.00924427870106,158.77456912012136,8.974032735158595
750599822_750600861_0,126.14504637333373,82.05312861601571,70.95026740441195,85.02758496555408,115.87926327663916,104.35915267828395,159.07664213016807,75.70481107132397,84.49902706169911,84.37390221966925,177.82711592893256
750599827_750600487_0,126.1707269254061,81.90176267500084,70.95295427380555,85.11522586615044,116.00297229080002,104.45700062268881,159.20660956299528,75.56292793456895,84.30558958035324,84.2219889568448,177.94824223946696
750600487_761091168_0,126.19685365151426,81.75082531209624,70.95645365061604,85.20345079859713,116.12704113055548,104.55530413178221,159.3368260564371,75.42154626895825,84.11239880031734,84.07049031722795,178.06960247980484
750600494_750599824_0,126.09173244477314,81.93000219318098,70.88563898168086,85.00773030401892,115.88132460341342,104.34530668381737,159.08273265206833,75.58420331588033,84.36780613334344,84.25063761162848,177.8275548991811
750600494_750600861_0,126.18447417712194,82.03893862646983,70.9837959990711,85.08124884661812,115.9400398397638,104.41493557610097,159.13854868863345,75.69409066655213,84.46788243196794,84.35950997601645,177.88742877672382
750600861_33581453_0,126.11009749633206,82.4955404578393,70.98031794239688,84.82171022762785,115.5710549726794,104.12407470084545,158.75017160703527,76.12261273004438,85.04974585247284,84.8176857983545,177.52550224989852
750600877_750599826_0,126.22392948735215,82.02480775522884,71.01738012092511,85.13493849727101,116.00082825736041,104.47073716996503,159.20046290118665,75.68343554635237,84.43678617827679,84.34517513034893,177.9477494806921
750600877_750600487_0,126.22392948735215,82.02480775522884,71.01738012092511,85.13493849727101,116.00082825736041,104.47073716996503,159.20046290118665,75.68343554635237,84.43678617827679,84.34517513034893,177.9477494806921
750607474_605012173_0,126.14577042743088,81.2048985523939,70.83996833109045,85.34489849734882,116.38241775225211,104.72796748897876,159.61164762685766,74.90024019954079,83.46452605815595,83.52308720155104,178.31524258736877
750619822_2572213222_0,74.63067660055584,159.8877422774136,114.05226096252147,87.54656654876143,54.976903594152986,67.76087152760257,14.394740404571177,155.53956749369235,180.67612101286582,160.4210112799771,7.184800215791048
750620627_750599385_0,74.04506643158331,159.06966130102938,113.08816613859655,86.48428325350723,53.83859973010424,66.70576701375168,13.269679740555352,154.68956450437548,179.845218551529,159.61508311828555,8.23600073445164
750623450_303761224_0,126.25046342854733,81.45023922976371,70.96590563599786,85.38167118699278,116.37628268369444,104.75329936912368,159.59803331462527,75.14029373207272,83.72674938420315,83.7687391836138,178.31305161377927
750679588_750599496_0,73.26420634690363,158.30153706094706,112.36216570839815,85.8162513932853,53.258125368944576,66.03203313262229,13.093434207894544,153.92770852695926,179.0794907987796,158.84491936669104,8.908398067314023
